Week;El_App_WT
5642;83.58077
5643;99.70136
5644;93.96534
5645;103.17055
5646;93.21378
5647;108.86638
5648;112.87836
5649;101.08941
5650;95.73424
5651;79.99797
5652;71.48028
5653;67.37174
5654;87.20184
5655;96.70844
5656;103.33627
5657;109.53772
5658;106.52387
5659;74.64197
5660;64.54573
5661;49.91514
5662;71.93540
5663;66.70415
5664;57.99321
5665;47.62394
5666;42.12926
5667;34.61747
5668;38.43479
5669;50.91712
5670;44.72215
5671;51.02495
5672;51.61489
5673;52.28020
5674;29.54309
5675;27.54679
5676;22.60700
5677;28.82545
5678;35.76242
5679;38.22854
5680;28.84640
5681;27.28618
5682;24.71467
5683;14.26149
5684;7.35095
5685;20.81863
5686;47.10804
5687;60.42171
5688;48.92296
5689;48.03947
5690;51.16960
5691;47.54762
5692;43.42044
5693;53.53478
5694;49.59108
5695;32.93957
5696;13.26988
5697;13.18694
5698;31.72286
5699;42.51382
5700;67.32243
5701;79.89651
5702;78.42881
5703;93.92878
5704;99.19328
5705;100.51392
5706;85.71280
5707;92.56118
5708;85.62961
5709;100.05849
5710;106.62249
5711;122.55677
5712;126.58729
5713;135.11908
5714;143.09630
5715;139.01684
5716;126.53739
5717;133.96466
5718;134.28884
5719;127.97554
5720;131.57851
5721;126.14186
5722;110.90771
5723;114.45109
5724;107.33382
5725;103.18560
5726;108.11218
5727;94.63066
5728;68.19750
5729;82.67856
5730;98.63642
5731;108.23113
5732;95.81354
5733;102.70778
5734;86.85799
5735;80.79800
5736;102.15025
5737;96.41158
5738;104.53212
5739;102.77357
5740;93.71948
5741;84.97983
5742;77.58686
5743;80.89501
5744;73.13516
5745;80.45316
5746;101.26065
5747;115.45564
5748;132.31717
5749;139.06236
5750;167.79054
5751;186.61915
5752;175.36270
5753;177.14115
5754;165.91925
5755;147.16314
5756;149.03416
5757;144.35572
5758;154.94923
5759;160.01886
5760;158.60641
5761;150.12500
5762;155.95324
5763;158.01001
5764;169.42584
5765;185.12928
5766;187.78755
5767;184.93381
5768;179.40200
5769;177.48344
5770;181.78194
5771;177.35104
5772;174.51926
5773;183.55756
5774;173.97761
5775;190.95069
5776;182.13383
5777;181.30313
5778;180.87298
5779;181.06702
5780;196.83275
5781;209.92421
5782;205.38227
5783;200.37816
5784;219.39935
5785;207.24279
5786;218.53764
5787;234.15339
5788;238.22920
